Rank,Hospital,Country
9211,WojewÌ_dzkie Centrum Onkologii Zdrowie To Podstawa,Poland
9272,(1)  KCM Clinic (Karkonoskie Centrum Medyczne),Poland
9373,Fresenius Medical Care Polska,Poland
9554,Aktywne Centrum Zdrowia,Poland
9591,Samodzielny Publiczny Szpital Specjalistyczny ChorÌ_b Pluc w Zakopanem,Poland
9594,Szpital W Sremie,Poland
9657,Szpital Miejski W Rudzie Slaskiej,Poland
9670,Kujawsko-Pomorskie Center Pulmonologii,Poland
9737,Szpital Powiatowy W Wolominie,Poland
9765,Katedra Onkologii Am W Poznaniu,Poland
9788,Szpital ChorÌ_b Pluc W Orzeszu,Poland
9840,Centrum Medyczne Alcor,Poland
9959,NZOZ Szpital Powiatowy w DzierÅ_oniowie,Poland
9967,OgÌ_lnodostepna Wojskowa Specjalistyczna Przychodnia Lekarska W Legionowie,Poland
10013,Szpital Rejonowy Im Dr Jozefa Rostka W Raciborzu,Poland
10025,Szpital Polozniczo Ginekologiczny Ujastek,Poland
10165,Szpital Dla Nerwowo i Psychicznie Chorych W Swieciu,Poland
10197,Zaklad Opieki Zdrowotnej Poznan Stare Miasto Szpital Miejski Im J Strusia W Poznaniu,Poland
10220,Leszczynskie Centrum Medyczne Ventriculus,Poland
10250,Szpital Drawsko,Poland
10319,Szpital Specjalistyczny W Jasle,Poland
10421,Szpital Ginekologiczno Polozniczyinflancka,Poland
10565,Szpital Powiatowy W Strzelcach Opolskich,Poland
10576,Moscickie Centrum Medyczne W Tarnowie,Poland
10630,Szpital Na Siemiradzkiego Im.R.Czerwiakowskiego,Poland
10652,Center of Oncology Maria Sklodowska Curie Memorial Institute Branch Gliwice,Poland
10694,Medikor,Poland
10698,Szpital Powiatowy Im Jana Pawla II W Trzciance,Poland
10728,Szpital ChorÌ_b Pluc,Poland
10756,Centrum Medyczne Arka,Poland
10785,Szpital Wolica,Poland
10788,Lecznica Dzieci I Doroslych Szpital Private Healthcare Clinic for Children and Adults Lecznica Dzieci I DorosÅâych,Poland
10807,Samodzielny Publiczny ZespÌ_l ZakladÌ_w Opieki Zdrowotnej W Czarnkowie,Poland
10870,Centralny Szpital Kliniczny Uniwersytetu Medycznego W Lodzi,Poland
10873,Specialty Hospital Matopat,Poland
10893,Szpital Kliniczny Dzieciatka Jesus Centrum Leczenia Obrazen W Warszawie,Poland
10934,Szpital Powiatowy W Ketrzynie,Poland
10968,ZespÌ_l ZakladÌ_w Opieki Zdrowotnej W Ostrowie Wlkp,Poland
10987,Szpital Sw Jozefa Mikolow Slaskie Zapraszamy,Poland
10991,Centrum Medyczne Internus,Poland
10994,Centrum Medyczne Warszawskiego Uniwersytetu Medycznego,Poland
11027,Szpital Dzieciecy Gorka,Poland
11063,Okregowy Szpital Kolejowy Spzoz,Poland
11132,Szpital Powiatowy W Wagrowcu,Poland
11148,H T Centrum Medyczne H T Medical Center,Poland
11206,Szpital Polozniczy W Olsztynie,Poland
11225,Samodzielny Publiczny Zaklad Opieki Zdrowotnej W Kepnie,Poland
11357,Klinika Grunwaldzka,Poland
11414,Centrum Medyczne Omega Kielce,Poland
11421,Esculap SpÌ_lka Medical Center,Poland
11449,Corten Medic Centrum Medyczne,Poland
11449,Klinica Onkologii I Radioterapii Amg,Poland
11529,Nszoz Centrum Medyczne Visus,Poland
11684,Medvit Poliklinika,Poland
11787,Prywatna Poliklinika Na Grobli,Poland
11816,Samodzielny Publiczny Szpital Kliniczny nr 2,Poland
11839,Szpital Powiatowy W Chodziezy,Poland
189,Centro Hospitalar de Lisboa Central (Hospital Dona Estefania),Portugal
304,Centro Hospitalar do Porto (Hospital Geral de Santo Antonio),Portugal
1593,Instituto PortuguÌ»s de Oncologia de Lisboa,Portugal
1844,ClÌ_nica Central do Bonfim Lda.,Portugal
2094,Centro Hospitalar do Barlavento Algarvio,Portugal
2383,Grupo Jose de Mello SaÌ_de,Portugal
2518,Hospital de Braga,Portugal
2691,Hospital da Luz,Portugal
2969,Centro Hospitalar PÌ_voa de Varzim/Vila do Conde,Portugal
3123,Centro Hospitalar de Coimbra,Portugal
4218,CGC Genetics / Centro de GenÌ©tica ClÌ_nica,Portugal
4728,Hospital Particular do Algarve,Portugal
4821,Hospital do Espirito Santo de Evora E.P.E.,Portugal
5627,Hospital CUF Descobertas,Portugal
5730,Centro Hospitalar de Lisboa Ocidental,Portugal
5865,Hospital de San Louis Lisboa,Portugal
5890,Hospital Distrital de Santarem E.P.E.,Portugal
6027,Centro Hospitalar de Vila Real / Peso Da Regua Epe,Portugal
6090,Centro Hospitalar do Alto Minho,Portugal
6216,Hospital CUF Infante Santo,Portugal
6342,Centro Hospitalar do Baixo Alentejo,Portugal
6462,Centro Hospitalar de Vila Nova de Gaia/Espinho,Portugal
6568,HDF Hospital Distrital de Faro,Portugal
6617,Hospital da Trofa,Portugal
6637,Hospital CUF Porto,Portugal
6734,Hospital da Arrabida,Portugal
6809,Casa de SaÌ_de de Santa Filomena,Portugal
6864,Centro Hospitalar Leiria Pombal (Hospital de Santo AndrÌ©),Portugal
7025,CHUC Centro Hospitalar e UniversitÌÁrio de Coimbra,Portugal
7085,Centro CirÌ_rgico de Coimbra,Portugal
7227,Hospital Central Especializado de CrianÌ_as Maria Pia,Portugal
7386,Centro Hospitalar do Medio Tejo,Portugal
7727,Cliria Hospital Privado de Aveiro,Portugal
7756,Hospital de SÌ£o Teotonio Viseu,Portugal
7779,Maternidade de JÌ_lio Dinis,Portugal
7786,ClÌ_nica CUF Cascais,Portugal
7931,Clinica das Conchas,Portugal
7955,Centro Hospitalar de SÌ£o JoÌ£o,Portugal
8116,Instituto CUF Porto,Portugal
8122,ClÌ_nica CUF Alvalade,Portugal
8374,Hospital da Misericordia de Evora,Portugal
8444,Centro Hospitalar de SetÌ_bal Epe,Portugal
8683,Hospital Distrital da Figueira da Foz E.P.E.,Portugal
8735,(1)  Centro Hospitalar Lisboa Norte - Hospital de Santa Maria - Hospital Pulido Valente,Portugal
9018,ClÌ_nica CUF BelÌ©m,Portugal
9064,ClÌ_nica CUF Torres Vedras,Portugal
9138,Hospital de SÌ£o SebastiÌ£o,Portugal
9226,ClÌ_nica CUF Mafra,Portugal
9491,LusÌ_adas SaÌ_de,Portugal
9975,Centro Hospitalar do TÌ¢mega e Sousa,Portugal
10109,Hospital do Litoral Alentejano,Portugal
10224,Centro Medico de Moscavide,Portugal
10246,Centro Hospitalar Caldas da Rainha,Portugal
10352,Hospital de Sao Marcos Braga,Portugal
10384,Clinica de Gondomar,Portugal
10537,Hospital Infante D Pedro Aveiro,Portugal
10842,Centro Hospitalar do Alto Ave,Portugal
10931,Hospital Vila Franca de Xira (Hospital de Reynaldo dos Santos),Portugal
11148,Cemeare Centro Medico de AssistÌ»ncia ÌÊ ReproduÌ_Ì£o Lda.,Portugal
11253,Instituto PortuguÌ»s de Oncologia do Porto Francisco Gentil E.P.E.,Portugal
11405,Centro Hospitalar do Nordeste,Portugal
11482,Clinica Medica da Foz,Portugal
11778,Hospital Particular de Almada,Portugal
1836,Medical Center Medlife,Romania
2024,Regina Maria Reteaua privata de sanatate,Romania
2049,Spitalul Judetean Baia Mare,Romania
2744,Spitalul Clinic Judetean de Urgenta Targu-Mures,Romania
3561,Centrul de Diagnostic si Tratament Dr Victor Babes,Romania
3881,Neoclinique,Romania
4037,Spitalul Clinic Judetean de Urgenta Timisoara,Romania
4210,Spitalul Clinic Municipal de Urgenta Timisoara,Romania
4821,Centrul Medical Medsana,Romania
5005,Spitalul Clinic Judetean de Urgenta Cluj,Romania
5089,Institutul Clinic Fundeni,Romania
5134,Spitalul Universitar de Urgenta Bucuresti,Romania
5189,Centrul Medical Sanador,Romania
5247,Clinica Centrul Medical Polisano,Romania
5836,Spitalul Clinic de Pneumologie Iasi,Romania
6247,Centrul Medical Gynecoland,Romania
6308,American Medical Center Bucarest,Romania
6637,Clinicii I Chirurgie de La Spitalul Universitar Sf Spiridon Iasi,Romania
6997,Spitalul Clinic Judetean Sibiu,Romania
7475,Spitalul Clinic Judetean de Urgenta Brasov,Romania
7859,Clinica de Oftalmologie Ama Optimex,Romania
7884,Spitalului Judetean de Urgenta Resita,Romania
7952,Spitalul Clinic de Obstetrica si Ginecologie Prof Dr Panait Sarbu,Romania
7968,Timisoara Institute of Cardiovascular Medicine,Romania
8034,Spitalu Clinic de Urgenta Pentru Copii Louis Turcanu Timisoara,Romania
8053,Spitalului Clinic Colentina,Romania
8190,Spitalul Clinic Cf Iasi Spitalul Universitar Cf Iasi,Romania
8329,Clinica Neurochirurgie Iv Spitalului Clinic de Urgenta Bagdasar Arseni,Romania
8606,Spitalul Clinic de Pediatrie Sibiu,Romania
8616,Spitalul Judetean de Urgenta Ploiesti,Romania
8643,Spitalul Clinic de Boli Infectioase si Tropicale Dr Victor Babes,Romania
8720,Spital Municipal Moinesti,Romania
8890,Spitalul Universitar de Urgenta Elias,Romania
9080,Centrul Medical Med Star,Romania
9157,Oftalmestet Clinica Oftalmologica,Romania
9163,Spitalul Judetean de Urgenta St Pantelimon,Romania
9422,Spitalul Clinic de Ortopedie Traumatologie si Tbc Osteoarticular Foisor,Romania
9444,Policlinica Promed,Romania
9538,Alfa Medical,Romania
9648,Medical Group Romgermed,Romania
9850,Spitalul General C.F Brasov,Romania
9920,Romar Medical,Romania
10109,Spitalul Clinic de Urgenta Pentr Copii Sf Maria,Romania
10220,Spitalul Judetean Slatina,Romania
10378,Clinical Hospital Nicolae Malaxa,Romania
10434,Spitalul Municipal Fagaras,Romania
10481,Spitalul Clinic de Boli Infectioase Constanta,Romania
10519,Spitalul Militar Cluj Napoca,Romania
10615,Clinica Medicala Hipocrat 2000,Romania
10710,Vision Clinic,Romania
10721,Spitalul Judetean Deva,Romania
10846,Spitalul Universitar C.F Cluj Napoca,Romania
10931,Spitalul de Boli Infectioase Si Pneumoftiziologie Dr V Babes Timisoara,Romania
11063,Clinica Palade,Romania
11124,Clinica i Chirurgie Generala Timisoara Sef Clinica Prof Dr Marius Teodorescu,Romania
11127,Clinica Angiomed,Romania
11160,Clinica Privata de Obstetrica Si Ginecologie Dr Magda Carauleanu,Romania
11184,Centrul Medical Iowemed,Romania
11201,Spitalul Judetean de Urgenta Galati Sf Apostol Hospital,Romania
11257,Spitalul de Cardiologie Covasna,Romania
11400,Centrul Medical Terra Aster Alba Iulia,Romania
11488,Coltea Hospital Clinic,Romania
11551,Spitalul Clinic Judetean de Urgenta Arad,Romania
11676,Centrul Medical Galenus,Romania
11726,Spitalul Judetean de Urgenta Slobozia,Romania
11856,Centrul Medical Mediurg Ploiesti,Romania
11889,Spitalul de Pneumoftiziologie Sibiu,Romania
11949,Centrul Medical Providenta,Romania
250,Russian Children's Hospital Moscow,Russian Federation
291,Bakoulev Center for Cardiovascular Surgery Russian Academy of Medical Sciences,Russian Federation
478,Center of Neurology Moscow,Russian Federation
484,On Clinic International Medical Center,Russian Federation
511,Russian Cardiology Scientific and Clinical Complex,Russian Federation
571,Family Doctor Clinic Moscow,Russian Federation
726,Medical Center Capital,Russian Federation
733,American Medical Center Multi Profile Vip Clinic,Russian Federation
905,Evromedprestizh Clinic and Medical Center Moscow,Russian Federation
954,Research Institute of Cardiology Tomsk Scientific Center - Siberian Branch of the Russian Academy of Medical Sciences,Russian Federation
1014,University Central Hospital Russian,Russian Federation
1065,European Medical Centre,Russian Federation
1160,District Hospital Khanty Mansiysk Okb,Russian Federation
1179,Oao Medicine,Russian Federation
1232,Scope Clinic,Russian Federation
1259,Clinic Be Zdorov,Russian Federation
1320,NMS Medical Center Moscow,Russian Federation
1345,Echinacea Clinic,Russian Federation
1518,Clinic Family Doctor,Russian Federation
1531,Russian Children's Clinical Hospital Moscow,Russian Federation
1695,Tselt Clinic & Hospital,Russian Federation
1750,Clinic Primamedika,Russian Federation
1755,SM Clinic at the Forest,Russian Federation
1762,Hospital Nizhny Novgorod,Russian Federation
1855,St Petersburg Medical Center,Russian Federation
1930,Medem International Clinic & Hospital,Russian Federation
1945,Clinical Hospital nr 122 L G Sokolova,Russian Federation
1952,Altra Vita,Russian Federation
2001,Ava Clinic Scandinavia,Russian Federation
2142,Cyber Clinic Moscow Institute of Medicine,Russian Federation
2241,Germany Clinics,Russian Federation
2253,Clinic Mama Infertility Treatment Methods and Eco Icsi,Russian Federation
2337,Medical Centre Medstyle Effect,Russian Federation
2427,Medical On Group Saint Petersbourg,Russian Federation
2440,Clinic Abc,Russian Federation
2469,Multidisciplinary Clinic Igor Medvedev,Russian Federation
2490,Medical Centre Avicenna,Russian Federation
2513,Medical Center XXI Century,Russian Federation
2597,Clinical Hospital nr 5 City of Health G.Tolyatti,Russian Federation
2618,Women's Medical Center Moscow,Russian Federation
2748,Clinic Mother & Child,Russian Federation
2796,Gynecology Clinic Neo Vita,Russian Federation
2850,Clinic Andrologii,Russian Federation
2942,Medical Center Rudn,Russian Federation
2954,Children's Eye Clinic Moscow,Russian Federation
2981,Academy Clinic & Medical Center,Russian Federation
3070,Clinic Euro Med,Russian Federation
3305,Tyumen Cardiology Center Branch of Institute of Cardiology Tomsk Scientific Center,Russian Federation
3344,Union Clinic,Russian Federation
3355,First Regional Hospital,Russian Federation
3369,Guta Clinic Medical Center,Russian Federation
3378,Ekaterinburgsky Medical Center,Russian Federation
3497,Modern Medicine Clinic Moscow,Russian Federation
3715,Norma Clinic,Russian Federation
3802,Sec Udp Rf Central Clinical Hospital,Russian Federation
3896,Republican Hospital Behalf Va Baranovamy,Russian Federation
3921,Idk Medical Company Center for Obstetrics and Gynecology,Russian Federation
4044,Komi Republican Hospital,Russian Federation
4044,Flebologii Medical Center & Women's Health Center Gynecology,Russian Federation
4057,MZ RFResearch Center specializing in the treatment of viral hepatitis,Russian Federation
4126,Clinical Hospital nr 1 Volyn / City Hospital 1,Russian Federation
4190,Medical Center Your Doctor,Russian Federation
4201,Moscow Research Institute of Cancer them PA Herzen,Russian Federation
4254,Multidisciplinary Clinic Metropolitan Doktor,Russian Federation
4304,Inpromed Children's Medical Center & Clinic,Russian Federation
4346,Clinic Dr Gynecologist Nazimova,Russian Federation
4412,Logon Medical Center,Russian Federation
4441,Central Clinical Hospital nr 6,Russian Federation
4464,Medical Center Medelite,Russian Federation
4498,Medical Center Lemesheva,Russian Federation
4694,Medical Center Gynecological Endocrinology & Reproduction Ltd.,Russian Federation
4698,Multidisciplinary Clinic Rami,Russian Federation
4703,Medical Center Medinkur,Russian Federation
4728,Adam & Eva Medical Center,Russian Federation
4758,Novaya Bolnitsa New Hospital,Russian Federation
4778,Best Clinic,Russian Federation
4793,Regional Clinical Hospital Nizhny Novgorod,Russian Federation
4799,Neo Med Clinic St Petersburg,Russian Federation
4855,Medical Center Bekhterev,Russian Federation
4904,Medical Center South,Russian Federation
4982,Family Medicine Clinic Andromed,Russian Federation
4996,Medhelp Clinic of Gynecology & Urology,Russian Federation
5023,Krasnoyarsk Regional Hospital,Russian Federation
5142,Santana Medical Center,Russian Federation
5176,Health Clinic,Russian Federation
5200,Psychoneurological Clinic,Russian Federation
5261,Urology Clinic Mediko Stomatologicheskogo Moscow State University,Russian Federation
5307,Cm Clinic at Klara Tsetkin,Russian Federation
5316,Moscow Clinic Neomed,Russian Federation
5333,New Medical Center Zdravitsa,Russian Federation
5397,American Medical Clinic St Petersburg,Russian Federation
5405,Medical Clinics Private Practice,Russian Federation
5422,Clinical Hospital na Semashko,Russian Federation
5427,Child Clinic Family Health,Russian Federation
5467,Clinic Them Jude,Russian Federation
5497,Yaroslavl Regional Clinical Hospital,Russian Federation
5553,Clinical Hospital Office of The President of The Rf,Russian Federation
5564,Eye Microsurgery Center of Gazprom,Russian Federation
5634,Buteyko Clinic,Russian Federation
5690,Ophthalmology Clinic Center,Russian Federation
5701,City Clinical Hospital nr 40,Russian Federation
5704,Kmh Neurosurgery Clinic Maloinvazivnoy,Russian Federation
5719,Private Children's Clinic,Russian Federation
5730,Clinic Bpt Children Faced,Russian Federation
5754,Medical Center of the University of Aachen,Russian Federation
5810,Seks Norma Clinic,Russian Federation
5826,Moh Real Fors Medical Center,Russian Federation
5847,Neurovita Clinic,Russian Federation
5859,Clinic Ortospayn Medicine Orthopaedic Center Vertebrologii,Russian Federation
5898,Klinika Glaznaya Eye Clinic Moscow Center Ophthalmology Vizion,Russian Federation
6004,Med Life Medical Center,Russian Federation
6011,Outlook Eye Clinic,Russian Federation
6047,Nordic Medical Center,Russian Federation
6208,Children's City Hospital nr 9,Russian Federation
6261,Medical Center Medsan,Russian Federation
6284,Regional Hospital N Burdenko Penza Regional Clinical Hospital N Burdenko,Russian Federation
6312,Medical Center Doctors Solomatova,Russian Federation
6325,Neurological Clinic,Russian Federation
6389,Yaroslavl Clinical Hospital,Russian Federation
6403,National Medical and Surgery Center of The Healthcare Ministry of Russian Federation,Russian Federation
6418,Clinic Scientific Research Institute,Russian Federation
6479,Euromed Clinic Moscou,Russian Federation
6582,Medical Clinic Women's in Moscow,Russian Federation
6592,Medical Center Pentamed,Russian Federation
6704,Vascular Clinic 'Venart',Russian Federation
6739,Curare Medicine Clinic,Russian Federation
6797,City Clinical Hospital nr 1 in Togliatti,Russian Federation
6825,Baltmed,Russian Federation
6840,Euro Clinic,Russian Federation
6844,Center for Heart Surgery KorAll,Russian Federation
6907,Regional Clinical Hospital Perm,Russian Federation
6936,City Clinical Hospital nr 13,Russian Federation
6953,Clinic for Vladimirskoy,Russian Federation
6961,Department of Tomography Russian Cardiology Research Center,Russian Federation
7031,International Research and Therapeutic Center of Andrology and Conservative Urologu Sanos,Russian Federation
7070,Ava Peter St Petersburg Russian Finnish Medical Centre,Russian Federation
7085,Alians Co Oncology Medical Center,Russian Federation
7093,Family Medical Center Pangaea,Russian Federation
7135,Dzhanelidze Research Institute of Emergency Care,Russian Federation
7200,Gynecology & Obstetrics Clinic Narva St Petersburg,Russian Federation
7208,Children's City Hospital nr 11,Russian Federation
7235,Multidisciplinary Clinic Potion,Russian Federation
7257,Tula Regional Hospital,Russian Federation
7306,Russian Cardiology Center Rknpk Moh Rf Moscow,Russian Federation
7338,Kardio Klinika,Russian Federation
7346,Pokrovskaya Hospital,Russian Federation
7355,Paid Polyclinic Medical Center,Russian Federation
7395,Hospital of Saint Aleksiyana,Russian Federation
7414,Andromeda Reproductive Medicine Clinic St Petersburg,Russian Federation
7460,Medical Center Leda,Russian Federation
7515,Chelyabinsk Regional Clinical Hospital,Russian Federation
7547,Kuban Medical Center,Russian Federation
7567,Novosibirsk Children's City Hospital nr 6,Russian Federation
7649,Clinic Ginekologii Medical Center,Russian Federation
7891,Dune Clinic,Russian Federation
7900,Clinical Hospital nr 119 Fmba Russia,Russian Federation
7925,Clinic Medved,Russian Federation
7945,Novosibirsk Oblast State Clinical Hospital,Russian Federation
7996,Center Fis Ophthalmic Clinic,Russian Federation
8006,Vision Eye Clinic,Russian Federation
8039,Private Eye Clinic,Russian Federation
8058,Inalmed Reproduction Clinic,Russian Federation
8065,Joint Polyclinic Hospital,Russian Federation
8134,Unimed Clinic,Russian Federation
8137,Municipal Hospital nr 4 Perm,Russian Federation
8142,Imtek Cardiology Research Center Moscow,Russian Federation
8219,Androclinic,Russian Federation
8234,Foundation Children's Hospital,Russian Federation
8289,Voronezh Regional Clinical Hospital,Russian Federation
8303,Oftalmohirurg Dmitri Dementiev Clinic,Russian Federation
8317,Psychiatric Hospital nr 1 Alekseeva Na,Russian Federation
8347,Israel Medical Center,Russian Federation
8380,Medical Center Balt Med,Russian Federation
8458,Clinical Hospital nr 85,Russian Federation
8469,Medical Center Revival,Russian Federation
8529,Medical Center DNA Diagnostic,Russian Federation
8585,Alpha Medical Center,Russian Federation
8667,Mtsvrt Medical Center,Russian Federation
8749,Alexandrovsky Hospital,Russian Federation
8799,Saint Maria Magdalene's Children Hospital,Russian Federation
8823,His Medical Team Medical Center,Russian Federation
8845,Clinic Viamed,Russian Federation
8896,Clinic Ona,Russian Federation
8902,Interuniversity Health Physics Centre,Russian Federation
8925,Canadian International Medical Center Urology and Gynecology Clinic,Russian Federation
9008,Benefacta Medical Center,Russian Federation
9043,Embryo Medical Center,Russian Federation
9096,Center Ginekologii Women's Medical Center To Arbate,Russian Federation
9287,Clinics Medical Service Center,Russian Federation
9336,Vizus1 Eye Clinic Ophthalmology Clinic,Russian Federation
9336,Medservis Center Gynecology Clinic,Russian Federation
9369,Voronezh Regional Clinical Opthalmological Hospital,Russian Federation
9396,Hitec Obstetrics and Gynecology Medical Center,Russian Federation
9426,Oao City Clinical Hospital nr 12 Kazan,Russian Federation
9491,Medical On Group Irkutsk,Russian Federation
9549,Clinic Eye Microsurgery Eurostyle,Russian Federation
9594,Children's Medical Center Yuniort,Russian Federation
9621,Regional Children's Hospital,Russian Federation
9708,Kaliningrad Oblast Hospital Clinical Hospital,Russian Federation
9730,Kliniko Diagnostichesky Cardiology Center,Russian Federation
9737,Medical Center Diagnostics 2000,Russian Federation
9752,Clinic Orkli Surgery,Russian Federation
9815,Medical Center Childhood,Russian Federation
9828,Klinika Modern Medical Technologies,Russian Federation
9868,Scientific and Medical Center Bio Resonanz Medical Center Marino,Russian Federation
9926,Clinic Moskvoreche,Russian Federation
9933,Leningrad Oblast Regional Hospital,Russian Federation
9956,Moscow City Clinical Hospital nr 50,Russian Federation
10008,Mlpuz City Hospital C P Botkina,Russian Federation
10019,Koloproktologiya,Russian Federation
10073,Uzi Gynecology Medical Center Oracle Medical Center,Russian Federation
10075,Ulyanovsk Oblast Children's Hospital,Russian Federation
10104,Clinical Ophthalmological Hospital Vp Vyhodtseva Omsk Regionn,Russian Federation
10147,Clinical Psychiatric Hospital # 1 Nizhny Novgorod,Russian Federation
10189,City Hospital Lipetsk,Russian Federation
10356,Establishment of The Khanty Mansi Budget Okruga Yugry The District Clinical Children's Hospital,Russian Federation
10383,Sanas Medical Center,Russian Federation
10418,Oncodome Moscow Municipal Cancer Hospital nr 62,Russian Federation
10439,Children's Hospital & Children's Medical Center,Russian Federation
10486,Medical Center Healing,Russian Federation
10570,Endocrine Surgery Clinic Medical Research Center Ents Moscow,Russian Federation
10650,Children's Psychiatric Hospital Moscow Health Department,Russian Federation
10652,Tomskaya Central District Hospital,Russian Federation
10667,Victory Clinic,Russian Federation
10705,Clinic Lavazha,Russian Federation
10717,Clinic 9 Plus Gynecology,Russian Federation
10795,Licon Medical Center,Russian Federation
10842,New Clinic,Russian Federation
10854,Lipetsk Regional Clinical Hospital,Russian Federation
10929,Road Clinic Hospital in art Saratov-II OJSC åÇRZDåÈ,Russian Federation
11043,Eye Clinic Krasnoyarsk,Russian Federation
11051,Botkin Hospital St Petersburg,Russian Federation
11103,City Hospital nr 42,Russian Federation
11268,Municipal Hospital nr 31,Russian Federation
11268,Laser Surgery Clinic Evrooptik,Russian Federation
11371,Medical Center Health Children Moscow,Russian Federation
11487,Interregional Clinic Laser Correction of Alexander Tihova,Russian Federation
11526,City Children's Hospital,Russian Federation
11657,Ladies Clinic Medical Center in Moscow,Russian Federation
11796,Medical Center First Doctor Multidisciplinary Clinic,Russian Federation
11819,Evromeds Clinic,Russian Federation
11833,Mordovia Republican Clinical Hospital,Russian Federation
11905,Occupational Medicine Clinic,Russian Federation
11915,City Hospital nr 1 Gnizhnevartovsk,Russian Federation
11932,Clinic Professor Lantuha,Russian Federation
11962,Provincial Medical Center Eye Microsurgery,Russian Federation
11999,Volga City Hospital nr 1,Russian Federation
334,Vojnomedicinska Akademija Beograd University Hospital,Serbia
953,Institut Za Onkologiju Vojvodine,Serbia
1531,Health Center Valjevo Valjevo Hospital,Serbia
2207,Gradski Zavod za Javno Zdravlje Beograd,Serbia
2585,Institut Za Zdravstvenu Zastitu Majke i Deteta Srbije Dr Vukan Eupia,Serbia
3081,Opst Bolnice Stefan Visoki,Serbia
3838,General Hospital Belmedic,Serbia
3921,Klinicki Centar Srbije,Serbia
4010,Zavod Za Hitnu Medicinsku Pomoc,Serbia
4534,OpÅÁta Bolnica Ìêorde Joanovic Zrenjanin,Serbia
5452,Klini€çko-Bolni€çki Centri Dr Dragisa Misovic,Serbia
5545,LaserFocus Centar za mikrohirurgiju oka,Serbia
6004,Health Center Dr Ristic,Serbia
6462,Ginekolosko Akuserska Bolnica Narodni Front,Serbia
6611,OpÅÁta Bolnica € uprija,Serbia
6773,Poliklinika Medikom,Serbia
6844,Institute for Pulmonary Diseases of Vojvodina Sremska Kamenica,Serbia
6940,Specijalna Bolnica Sokobanja,Serbia
7644,Univerzitetska Decja Klinika,Serbia
8003,Klinicki Centar Nis,Serbia
8039,Zdravstveni Centar Uzice,Serbia
8451,OpÅÁta Bolnica Leskovac,Serbia
8558,Zdravstveni Centar Krusevac,Serbia
9479,Milos Klinike Specijalna Bolnica za Oftalmologiju,Serbia
10154,Zdravstveni Centar Arandjelovac,Serbia
10158,Zdravstveni Centar Leskovac,Serbia
10365,Special Hospital Sveti Vid,Serbia
10461,(1)  Specijalna GinekoloÅÁka Bolnica Jevremova,Serbia
10781,GinekoloÅÁka Ordinacija Palmoti€àeva,Serbia
11051,Specijalna Bolnica Beograd Centar za Humanu Reprodukciju,Serbia
11082,Medicor Poliklinik,Serbia
11092,OpÅÁta Bolnica Sveti Jovan,Serbia
11320,Plucna Bolnica Zrenjanin,Serbia
11389,Perinatal Poliklinika & Specijalna Bolnica za Ginekologiju,Serbia
11547,Ors Hospital,Serbia
11911,Papic Gynecological Hospital,Serbia
1280,Klinika Detskej Chirurgie Lf Uk a Dfnsp,Slovakia 
1544,UniverzitnÌÁ nemocnica Bratislava,Slovakia 
1623,Fakultna Nemocnica S Poliklinikou V Presove,Slovakia 
1785,Psychiatricka Nemocnica Philippa Pinela,Slovakia 
2159,Nemocnica S Poliklinikou Nove Zamky,Slovakia 
2637,UniverzitnÌÁ nemocnica Martin,Slovakia 
2650,Nemocnica S Poliklinikou Zilina,Slovakia 
2667,Detska Fakultna Nemocnica S Poliklinikou Banska Bystrica,Slovakia 
3011,Fakultna Nemocnica Nitra,Slovakia 
3311,Nemocnica Poprad,Slovakia 
3333,Nemocnica S Poliklinikou Partizanske,Slovakia 
3606,Dfnsp Detska Fakultna Nemocnica S Poliklinikou Bratislava,Slovakia 
4511,Nemocnica S Poliklinikou Sv Lukasa Galanta,Slovakia 
4673,Nemocnica Kosice Saca,Slovakia 
4813,OnkologickÌ_ Ì_stav Sv Alzbety,Slovakia 
5011,Iscare Centre for Assisted Reproduction,Slovakia 
5346,Nemocnica S Poliklinikou Prievidza So Sidlom V Bojniciach,Slovakia 
5379,Lubovnianska Nemocnica N O.,Slovakia 
5522,Nemocnica S Poliklinikou Lipt.Mikulaa,Slovakia 
5524,Nemocnica S Poliklinikou Trstena,Slovakia 
5775,Nemocnica S Poliklinikou Povazska Bystrica,Slovakia 
5865,Nemocnice S Poliklinikou N O V Leviciach,Slovakia 
6019,Nemocnica S Poliklinikou Sv Jakuba N.O Bardejov,Slovakia 
6166,NarodnÌ_ OnkologickÌ_ Ì_stav,Slovakia 
6383,Nemocnica SvÌ_tÌ©ho Michala,Slovakia 
6487,Nemocnice pod sprÌÁvou spolo€çnosti Svet zdravia (Nemocnica A Lena Humenne),Slovakia 
6637,Nemocnica S Poliklinikou Dunajska Streda,Slovakia 
6665,Nemocnica S Poliklinikou Myjava,Slovakia 
7154,Zeleznicnej Nemocnice S Poliklinikou Kosice,Slovakia 
7580,Nemocnica Topolcany,Slovakia 
7630,Cornea Bratislava,Slovakia 
7720,Nemocnica S Poliklinikou Brezno,Slovakia 
7867,Medifera Medical Centre,Slovakia 
7907,KysuckÌÁ Nemocnica S Poliklinikou €Îadca (Nemocnice S Poliklinikou),Slovakia 
7957,Psychiatricka Nemocnica Vo Velkom ZaluzÌ_,Slovakia 
